Source,Target,Type,Id,Label,timeset,Weight,combined date,endtime,year
luciash,[NEW],Directed,0,[NEW],,28,2009-03-09,2019-03-02,2009
xorti,[FIX],Directed,1,[FIX],,62,2018-03-28,2019-03-02,2018
jonnybradley,[UPD],Directed,3,[UPD],,104,2016-02-01,2019-03-02,2016
jonnybradley,[REF],Directed,4,[REF],,98,2010-07-02,2019-03-02,2010
jonnybradley,[FIX],Directed,5,[FIX],,4544,2009-03-03,2019-03-02,2009
Fabio,[FIX],Directed,6,[FIX],,62,2018-08-14,2019-03-02,2018
Fabio,[ENH],Directed,8,[ENH],,8,2018-12-14,2019-03-02,2018
Fabio,[MOD],Directed,12,[MOD],,2,2019-02-26,2019-03-02,2019
xorti,[NEW],Directed,14,[NEW],,20,2018-03-30,2019-03-02,2018
amnabilal,[FIX],Directed,16,[FIX],,190,2016-05-22,2019-03-02,2016
Fabio,[REF],Directed,26,[REF],,3,2018-12-21,2019-03-02,2018
luciash,[FIX],Directed,29,[FIX],,389,2009-03-01,2019-03-02,2009
lindonb,[FIX],Directed,32,[FIX],,785,2009-05-10,2019-03-02,2009
lindonb,[UI],Directed,33,[UI],,7,2017-01-28,2019-03-02,2017
lindonb,[REF],Directed,35,[REF],,292,2011-12-31,2019-03-02,2011
jonnybradley,[ENH],Directed,45,[ENH],,756,2009-03-03,2019-03-02,2009
jonnybradley,[NEW],Directed,49,[NEW],,97,2009-03-11,2019-03-02,2009
Fabio,[NEW],Directed,64,[NEW],,11,2018-12-12,2019-03-02,2018
robertokir,[ENH],Directed,66,[ENH],,21,2017-07-18,2019-03-02,2017
robertokir,[REL],Directed,71,[REL],,28,2018-01-10,2019-03-02,2018
pom2ter,[FIX],Directed,72,[FIX],,49,2016-02-05,2019-03-02,2016
nelsonko,[FIX],Directed,82,[FIX],,2,2019-02-19,2019-03-02,2019
Polyna-Maude,[FIX],Directed,86,[FIX],,1,2019-02-19,2019-03-02,2019
yonixxx,[FIX],Directed,102,[FIX],,151,2011-10-02,2019-03-02,2011
lyabs243,[ADD],Directed,104,[ADD],,2,2018-11-13,2019-03-02,2018
kafindo,[FIX],Directed,114,[FIX],,1,2019-02-13,2019-03-02,2019
rjsmelo,[FIX],Directed,117,[FIX],,183,2015-10-07,2019-03-02,2015
rjsmelo,[REF],Directed,118,[REF],,109,2017-08-26,2019-03-02,2017
robertokir,[FIX],Directed,133,[FIX],,48,2017-07-27,2019-03-02,2017
Victor,[FIX],Directed,144,[FIX],,4,2019-01-16,2019-03-02,2019
jonnybradley,[REL],Directed,147,[REL],,117,2010-03-10,2019-03-02,2010
xorti,[REF],Directed,168,[REF],,12,2018-04-02,2019-03-02,2018
xorti,[ENH],Directed,170,[ENH],,52,2018-04-14,2019-03-02,2018
Fabio,[UPD],Directed,198,[UPD],,2,2018-09-12,2019-03-02,2018
rjsmelo,[NEW],Directed,199,[NEW],,52,2016-08-22,2019-03-02,2016
luciash,[ENH],Directed,209,[ENH],,118,2009-03-02,2019-03-02,2009
Jyhem,[FIX],Directed,220,[FIX],,324,2009-03-02,2019-03-02,2009
chibaguy,[FIX],Directed,228,[FIX],,1121,2009-03-01,2019-03-02,2009
lyabs243,[FIX],Directed,232,[FIX],,6,2018-09-28,2019-03-02,2018
Jyhem,[ENH],Directed,233,[ENH],,126,2009-03-02,2019-03-02,2009
benitaNK,[ENH],Directed,242,[ENH],,3,2018-11-19,2019-03-02,2018
xavidp,[ENH],Directed,244,[ENH],,110,2009-03-30,2019-03-02,2009
chibaguy,[UPD],Directed,248,[UPD],,138,2017-10-08,2019-03-02,2017
kerzay,[FIX],Directed,255,[FIX],,6,2018-01-24,2019-03-02,2018
xavidp,[FIX],Directed,258,[FIX],,601,2009-03-18,2019-03-02,2009
kroky6,[FIX],Directed,260,[FIX],,246,2016-08-02,2019-03-02,2016
kroky6,[ENH],Directed,261,[ENH],,149,2016-08-09,2019-03-02,2016
kroky6,[MOD],Directed,264,[MOD],,5,2016-11-04,2019-03-02,2016
kerzay,[ENH],Directed,268,[ENH],,3,2018-09-19,2019-03-02,2018
pom2ter,[ENH],Directed,279,[ENH],,4,2016-02-29,2019-03-02,2016
lyabs243,[ENH],Directed,313,[ENH],,3,2018-10-09,2019-03-02,2018
drsassafras,[REF],Directed,314,[REF],,42,2016-11-18,2019-03-02,2016
drsassafras,[FIX],Directed,315,[FIX],,83,2016-10-14,2019-03-02,2016
drsassafras,[NEW],Directed,329,[NEW],,10,2017-01-09,2019-03-02,2017
Benoit,[FIX],Directed,337,[FIX],,4,2018-11-02,2019-03-02,2018
Benoit,[ENH],Directed,355,[ENH],,2,2018-09-18,2019-03-02,2018
drsassafras,[ENH],Directed,371,[ENH],,60,2016-06-14,2019-03-02,2016
lyabs243,[REF],Directed,378,[REF],,1,2018-11-01,2019-03-02,2018
chibaguy,[ENH],Directed,421,[ENH],,202,2009-03-01,2019-03-02,2009
pom2ter,[UPD],Directed,427,[UPD],,2,2018-09-14,2019-03-02,2018
kishiko,[UPD],Directed,459,[UPD],,3,2018-05-21,2019-03-02,2018
yonixxx,[UPD],Directed,514,[UPD],,3,2018-10-14,2019-03-02,2018
Loic,[ENH],Directed,531,[ENH],,1,2018-10-12,2019-03-02,2018
chibaguy,[REF],Directed,574,[REF],,275,2011-01-29,2019-03-02,2011
chibaguy,[UI],Directed,622,[UI],,11,2018-06-19,2019-03-02,2018
kishiko,[NEW],Directed,629,[NEW],,4,2018-05-22,2019-03-02,2018
yonixxx,[ENH],Directed,671,[ENH],,26,2012-11-04,2019-03-02,2012
luciash,[UPD],Directed,684,[UPD],,11,2018-03-19,2019-03-02,2018
bnk18,[FIX],Directed,688,[FIX],,3,2018-09-11,2019-03-02,2018
jonnybradley,[MOD],Directed,703,[MOD],,511,2009-03-03,2019-03-02,2009
amnabilal,[NEW],Directed,708,[NEW],,4,2016-10-04,2019-03-02,2016
rjsmelo,[ENH],Directed,712,[ENH],,75,2015-10-07,2019-03-02,2015
amnabilal,[UPD],Directed,714,[UPD],,11,2017-02-07,2019-03-02,2017
amnabilal,[UI],Directed,724,[UI],,10,2018-07-18,2019-03-02,2018
jonnybradley,[KIL],Directed,730,[KIL],,68,2009-03-04,2019-03-02,2009
amnabilal,[ENH],Directed,748,[ENH],,24,2016-05-21,2019-03-02,2016
jonnybradley,[SVN],Directed,763,[SVN],,34,2009-03-04,2019-03-02,2009
kroky6,[UPD],Directed,781,[UPD],,3,2017-09-21,2019-03-02,2017
jonnybradley,[UI],Directed,827,[UI],,1,2018-09-15,2019-03-02,2018
chibaguy,[SVN],Directed,893,[SVN],,15,2009-03-10,2019-03-02,2009
xorti,[UPD],Directed,909,[UPD],,1,2018-09-01,2019-03-02,2018
Philippe,[REF],Directed,914,[REF],,3,2018-08-28,2019-03-02,2018
chibaguy,[NEW],Directed,919,[NEW],,80,2009-04-21,2019-03-02,2009
Guus,[ENH],Directed,952,[ENH],,2,2018-08-20,2019-03-02,2018
luciash,[REF],Directed,965,[REF],,10,2013-11-21,2019-03-02,2013
yonixxx,[NEW],Directed,980,[NEW],,4,2012-12-02,2019-03-02,2012
luciash,[REL],Directed,992,[REL],,6,2014-05-19,2019-03-02,2014
manasoft404,[FIX],Directed,1074,[FIX],,4,2018-04-16,2019-03-02,2018
luciash,[MOD],Directed,1079,[MOD],,43,2009-03-01,2019-03-02,2009
manasoft404,[MOD],Directed,1105,[MOD],,2,2018-07-13,2019-03-02,2018
manasoft404,[NEW],Directed,1111,[NEW],,1,2018-07-11,2019-03-02,2018
samymwamba,[FIX],Directed,1138,[FIX],,1,2018-07-04,2019-03-02,2018
amnabilal,[New],Directed,1139,[New],,5,2017-10-21,2019-03-02,2017
amnabilal,[MOD],Directed,1191,[MOD],,2,2017-09-29,2019-03-02,2017
lindonb,[ENH],Directed,1231,[ENH],,135,2009-09-08,2019-03-02,2009
kishiko,[ENH],Directed,1288,[ENH],,2,2018-05-17,2019-03-02,2018
montefuscolo,[FIX],Directed,1299,[FIX],,45,2016-11-02,2019-03-02,2016
kishiko,[MOD],Directed,1311,[MOD],,2,2018-05-30,2019-03-02,2018
kishiko,[FIX],Directed,1352,[FIX],,1,2018-05-21,2019-03-02,2018
Serge,[ENH],Directed,1410,[ENH],,2,2018-05-10,2019-03-02,2018
chibaguy,[KIL],Directed,1494,[KIL],,30,2009-04-19,2019-03-02,2009
luciash,[KIL],Directed,1509,[KIL],,15,2009-03-14,2019-03-02,2009
Kishiko,[ENH],Directed,1510,[ENH],,1,2018-04-23,2019-03-02,2018
ricks99,[FIX],Directed,1686,[FIX],,31,2009-03-27,2019-03-02,2009
montefuscolo,[UPD],Directed,1688,[UPD],,1,2018-03-19,2019-03-02,2018
montefuscolo,[NEW],Directed,1706,[NEW],,7,2016-11-03,2019-03-02,2016
lfagundes,[REL],Directed,1719,[REL],,15,2017-12-06,2019-03-02,2017
montefuscolo,[ENH],Directed,1723,[ENH],,14,2016-11-01,2019-03-02,2016
Luis,[FIX],Directed,1732,[FIX],,4,2018-02-27,2019-03-02,2018
Luis,[ENH],Directed,1737,[ENH],,4,2018-03-05,2019-03-02,2018
Roberto,[ENH],Directed,1797,[ENH],,1,2018-02-26,2019-03-02,2018
fmg-sf,[REF],Directed,1829,[REF],,6,2012-10-22,2019-03-02,2012
fmg-sf,[ENH],Directed,1844,[ENH],,83,2012-10-16,2019-03-02,2012
chealer,[REF],Directed,1924,[REF],,495,2010-09-06,2019-03-02,2010
chealer,[FIX],Directed,1930,[FIX],,856,2009-07-31,2019-03-02,2009
lfagundes,[FIX],Directed,1931,[FIX],,16,2017-07-12,2019-03-02,2017
drsassafras,[SEC],Directed,1941,[SEC],,10,2016-06-13,2019-03-02,2016
chealer,[SEC],Directed,2146,[SEC],,8,2009-10-22,2019-03-02,2009
robertokir,[REF],Directed,2257,[REF],,4,2017-08-03,2019-03-02,2017
lfagundes,[ENH],Directed,2312,[ENH],,2,2017-08-02,2019-03-02,2017
lfagundes,[NEW],Directed,2313,[NEW],,2,2017-11-14,2019-03-02,2017
amette,[FIX],Directed,2324,[FIX],,48,2012-06-18,2019-03-02,2012
rjsmelo,[MOD],Directed,2370,[MOD],,15,2015-11-02,2019-03-02,2015
kroky6,[REF],Directed,2396,[REF],,7,2017-07-13,2019-03-02,2017
arildb,[FIX],Directed,2422,[FIX],,463,2011-09-03,2019-03-02,2011
nkoth,[FIX],Directed,2459,[FIX],,896,2009-03-01,2019-03-02,2009
Jyhem,[REF],Directed,2464,[REF],,26,2014-11-20,2019-03-02,2014
amette,[ENH],Directed,2493,[ENH],,68,2012-07-24,2019-03-02,2012
arildb,[REF],Directed,2652,[REF],,12,2012-04-25,2019-03-02,2012
arildb,[ENH],Directed,2673,[ENH],,114,2012-01-14,2019-03-02,2012
arildb,[MOD],Directed,2678,[MOD],,46,2012-03-02,2019-03-02,2012
Jyhem,[NEW],Directed,2735,[NEW],,11,2009-07-01,2019-03-02,2009
robertokir,[NEW],Directed,2764,[NEW],,1,2017-09-13,2019-03-02,2017
robertokir,[ADD],Directed,2830,[ADD],,2,2017-09-02,2019-03-02,2017
rjsmelo,[UPD],Directed,2841,[UPD],,3,2017-01-26,2019-03-02,2017
rjsmelo,[New],Directed,2861,[New],,1,2017-08-20,2019-03-02,2017
pom2ter,[NEW],Directed,2868,[NEW],,2,2017-08-04,2019-03-02,2017
lindonb,[UPD],Directed,3134,[UPD],,10,2016-07-09,2019-03-02,2016
patrick-proulx,[FIX],Directed,3148,[FIX],,87,2014-05-24,2019-03-02,2014
patrick-proulx,[ENH],Directed,3263,[ENH],,99,2014-04-23,2019-03-02,2014
lindonb,[KIL],Directed,3341,[KIL],,12,2012-09-09,2019-03-02,2012
chealer,[ENH],Directed,3347,[ENH],,120,2009-08-02,2019-03-02,2009
marclaporte,[MOD],Directed,3438,[MOD],,161,2009-03-03,2019-03-02,2009
gezzzan,[FIX],Directed,3508,[FIX],,193,2011-07-20,2019-03-02,2011
icc0rz,[FIX],Directed,3535,[FIX],,9,2017-02-23,2019-03-02,2017
gezzzan,[REF],Directed,3546,[REF],,3,2014-11-22,2019-03-02,2014
gezzzan,[ENH],Directed,3547,[ENH],,37,2011-07-19,2019-03-02,2011
patrick-proulx,[MOD],Directed,3550,[MOD],,1,2017-03-29,2019-03-02,2017
icc0rz,[ENH],Directed,3553,[ENH],,4,2017-03-09,2019-03-02,2017
yonixxx,[UI],Directed,3629,[UI],,5,2016-03-16,2019-03-02,2016
gezzzan,[KIL],Directed,3665,[KIL],,4,2017-03-19,2019-03-02,2017
eromneg,[FIX],Directed,3833,[FIX],,101,2009-06-14,2019-03-02,2009
eromneg,[ENH],Directed,3844,[ENH],,55,2010-04-14,2019-03-02,2010
marclaporte,[FIX],Directed,3859,[FIX],,255,2009-03-01,2019-03-02,2009
lindonb,[NEW],Directed,3865,[NEW],,4,2013-07-07,2019-03-02,2013
montefuscolo,[SVN],Directed,3998,[SVN],,2,2017-02-08,2019-03-02,2017
chealer,[KIL],Directed,4019,[KIL],,15,2009-10-14,2019-03-02,2009
drsassafras,[KIL],Directed,4046,[KIL],,9,2016-11-19,2019-03-02,2016
yonixxx,[REL],Directed,4077,[REL],,3,2013-09-30,2019-03-02,2013
drsassafras,[MOD],Directed,4080,[MOD],,2,2017-01-14,2019-03-02,2017
pjollans,[ENH],Directed,4146,[ENH],,4,2016-11-06,2019-03-02,2016
xavidp,[MOD],Directed,4155,[MOD],,54,2009-08-07,2019-03-02,2009
kroky6,[NEW],Directed,4186,[NEW],,9,2016-08-04,2019-03-02,2016
fvtorres,[FIX],Directed,4213,[FIX],,19,2016-07-30,2019-03-02,2016
nkoth,[MOD],Directed,4236,[MOD],,90,2009-03-02,2019-03-02,2009
nkoth,[ENH],Directed,4259,[ENH],,212,2009-12-07,2019-03-02,2009
michelf,[UPD],Directed,4296,[UPD],,1,2016-11-13,2019-03-02,2016
pjollans,[FIX],Directed,4330,[FIX],,3,2016-10-29,2019-03-02,2016
smartingarcia,[FIX],Directed,4332,[FIX],,1,2016-11-07,2019-03-02,2016
smartingarcia,[NEW],Directed,4333,[NEW],,1,2016-11-07,2019-03-02,2016
michelf,[NEW],Directed,4341,[NEW],,2,2016-10-16,2019-03-02,2016
fvtorres,[ENH],Directed,4361,[ENH],,12,2016-07-26,2019-03-02,2016
molnarl,[FIX],Directed,4380,[FIX],,1,2016-11-03,2019-03-02,2016
rjsmelo,[SEC],Directed,4411,[SEC],,1,2016-10-27,2019-03-02,2016
michelf,[FIX],Directed,4426,[FIX],,2,2016-10-16,2019-03-02,2016
uxeric,[ENH],Directed,4493,[ENH],,9,2015-08-19,2019-03-02,2015
lindonb,[MOD],Directed,4569,[MOD],,10,2009-07-12,2019-03-02,2009
jonnybradley,[CSS],Directed,4610,[CSS],,50,2009-03-27,2019-03-02,2009
giograf,[FIX],Directed,4616,[FIX],,6,2016-07-21,2019-03-02,2016
giograf,[ENH],Directed,4704,[ENH],,8,2016-07-22,2019-03-02,2016
muscote,[ENH],Directed,4743,[ENH],,1,2016-08-27,2019-03-02,2016
giograf,[REF],Directed,4761,[REF],,1,2016-08-23,2019-03-02,2016
fvtorres,[NEW],Directed,4817,[NEW],,1,2016-08-09,2019-03-02,2016
fvtorres,[MOD],Directed,4820,[MOD],,1,2016-08-09,2019-03-02,2016
giograf,[NEW],Directed,4839,[NEW],,1,2016-08-02,2019-03-02,2016
yonixxx,[SEC],Directed,4896,[SEC],,1,2016-07-23,2019-03-02,2016
nkoth,[NEW],Directed,4940,[NEW],,86,2010-02-16,2019-03-02,2010
ohertel,[FIX],Directed,5016,[FIX],,8,2011-10-29,2019-03-02,2011
aholmes99,[NEW],Directed,5074,[NEW],,1,2016-05-12,2019-03-02,2016
derceto125,[FIX],Directed,5085,[FIX],,2,2016-04-18,2019-03-02,2016
aholmes99,[ENH],Directed,5096,[ENH],,5,2015-12-22,2019-03-02,2015
patrick-proulx,[NEW],Directed,5124,[NEW],,9,2015-06-26,2019-03-02,2015
aholmes99,[FIX],Directed,5141,[FIX],,1,2016-02-29,2019-03-02,2016
ameoba32,[FIX],Directed,5154,[FIX],,4,2015-12-14,2019-03-02,2015
nkoth,[REL],Directed,5167,[REL],,26,2009-03-02,2019-03-02,2009
gezzzan,[MOD],Directed,5174,[MOD],,200,2011-12-12,2019-03-02,2011
eromneg,[NEW],Directed,5185,[NEW],,4,2012-07-02,2019-03-02,2012
uxeric,[REF],Directed,5206,[REF],,1,2016-02-01,2019-03-02,2016
gezzzan,[NEW],Directed,5372,[NEW],,9,2011-07-19,2019-03-02,2011
sampaioprimo,[ENH],Directed,5382,[ENH],,122,2009-07-13,2019-03-02,2009
xavidp,[NEW],Directed,5393,[NEW],,16,2013-08-09,2019-03-02,2013
aholmes99,[REF],Directed,5398,[REF],,1,2015-12-22,2019-03-02,2015
nkoth,[KIL],Directed,5440,[KIL],,8,2014-04-24,2019-03-02,2014
ameoba32,[NEW],Directed,5531,[NEW],,1,2015-12-03,2019-03-02,2015
mathchartier,[REF],Directed,5571,[REF],,1,2015-11-27,2019-03-02,2015
Jyhem,[REL],Directed,5578,[REL],,12,2015-03-23,2019-03-02,2015
yonixxx,[MOD],Directed,5666,[MOD],,2,2011-11-09,2019-03-02,2011
patrick-proulx,[REF],Directed,5739,[REF],,4,2013-11-20,2019-03-02,2013
minger0,[ENH],Directed,5883,[ENH],,1,2015-09-24,2019-03-02,2015
uxeric,[FIX],Directed,5889,[FIX],,7,2015-08-17,2019-03-02,2015
estheban,[NEW],Directed,5937,[NEW],,1,2015-09-18,2019-03-02,2015
estheban,[REF],Directed,5938,[REF],,1,2015-09-18,2019-03-02,2015
markitosaad,[ENH],Directed,6001,[ENH],,23,2015-07-28,2019-03-02,2015
uxeric,[NEW],Directed,6051,[NEW],,1,2015-08-19,2019-03-02,2015
markitosaad,[FIX],Directed,6060,[FIX],,2,2015-08-14,2019-03-02,2015
arildb,[NEW],Directed,6218,[NEW],,82,2011-09-10,2019-03-02,2011
funkju,[FIX],Directed,6288,[FIX],,2,2015-06-15,2019-03-02,2015
funkju,[NEW],Directed,6308,[NEW],,2,2015-06-09,2019-03-02,2015
minger0,[NEW],Directed,6323,[NEW],,5,2010-08-13,2019-03-02,2010
minger0,[FIX],Directed,6342,[FIX],,10,2010-08-16,2019-03-02,2010
manivannans,[FIX],Directed,6433,[FIX],,87,2013-10-29,2019-03-02,2013
anbumania,[FIX],Directed,6435,[FIX],,19,2015-03-03,2019-03-02,2015
walper,[FIX],Directed,6538,[FIX],,68,2014-11-12,2019-03-02,2014
RobertPlummer,[FIX],Directed,6726,[FIX],,1024,2010-07-02,2019-03-02,2010
walper,[ENH],Directed,6750,[ENH],,8,2015-01-31,2019-03-02,2015
alexandrequessy,[FIX],Directed,6788,[FIX],,4,2014-05-12,2019-03-02,2014
alexandrequessy,[ENH],Directed,6789,[ENH],,21,2014-06-19,2019-03-02,2014
xavidp,[REF],Directed,7210,[REF],,3,2013-12-01,2019-03-02,2013
